id,color,shape,area,perimeter,x,y,width,height,cx,cy,aspect_ratio
137,Other,Circle,2044.5,169.78,211,68,53,50,236,93,1.06
138,Other,Circle,1781.0,159.2,679,64,50,48,703,87,1.04
139,Other,Circle,1817.0,160.02,953,55,49,50,976,79,0.98
140,Other,Circle,4362.5,332.15,305,46,74,104,340,93,0.71
141,Other,Circle,1904.5,166.95,894,45,55,45,921,66,1.22
142,Other,Circle,2029.0,168.85,807,41,51,53,831,66,0.96
143,Other,Circle,1847.5,167.44,634,32,47,56,656,59,0.84
144,Other,Circle,1862.0,161.2,520,26,50,49,544,49,1.02
145,Other,Circle,2114.0,172.85,578,18,52,54,603,43,0.96
146,Other,Circle,1769.5,160.95,973,10,54,44,999,32,1.23
147,Other,Circle,1260.0,133.05,165,3,41,41,184,22,1.0
148,Other,Circle,1600.0,149.05,899,0,49,41,923,19,1.2
149,Other,Circle,1291.0,140.43,788,0,47,34,811,14,1.38
150,Other,Circle,1939.5,228.12,653,0,83,38,687,13,2.18
151,Other,Rectangle,508.0,109.11,599,0,48,15,622,5,3.2
152,Other,Circle,3910.5,335.04,399,0,91,85,447,40,1.07
153,Other,Circle,1018.5,127.36,341,0,39,33,359,14,1.18
154,Other,Circle,1394.5,147.01,300,0,38,45,319,20,0.84
155,Other,Circle,1314.5,141.84,251,0,47,35,273,15,1.34
156,Other,Circle,925.0,130.43,117,0,50,26,142,10,1.92
157,Other,Circle,2677.5,218.12,0,0,57,62,25,30,0.92
